Urban Village/Village,Subdistrict,Regency_City,Province,Longitude,Latitude,Elevation,Slope,Aspect,HillShade,Rainfall,LandCover,NDVI,NDWI,NDVI_Change,LST,PopulationDensity,SoilMoisture,Prediction,GroundTruth
,,Bogor,Jawa Barat,106.7607667,-6.486444228,138,2.629956007,134.8160248,174,4833.878882,60,0.172196224,-0.146985248,-0.106560424,305.3355556,2169.933594,24.40625763,,
,,Bogor,Jawa Barat,106.9456257,-6.648446458,997,20.07923317,237.8986359,233,4462.325247,10,0.080648541,-0.079547711,-0.091597989,296.2693333,2169.933594,24.99391365,,
,,Bogor,Jawa Barat,106.6417087,-6.669653719,528,3.820010662,14.12806797,177,5168.976742,60,0.129268348,-0.108771704,-0.080733538,299.8961905,2169.933838,25.1151371,,
,,Bogor,Jawa Barat,106.4759412,-6.689606784,1531,16.93652344,25.35225677,158,5483.020934,10,0.045271035,-0.054701321,-0.013396807,295.0323077,2169.933594,25.10935974,,
,,Bogor,Jawa Barat,106.9239613,-6.7283237,1089,30.74354553,260.6016846,255,4639.923124,10,0.050781772,-0.054050349,-0.013017215,296.9371429,2169.933838,24.85513115,,
,,Bogor,Jawa Barat,106.5322685,-6.429071305,83,3.819901228,194.1215363,183,4176.140424,10,0.194948047,-0.151659802,-0.232940406,301.684,2169.933594,23.74265099,,
,,Bogor,Jawa Barat,106.8642957,-6.621134768,338,7.035367966,336.662262,189,4717.314474,10,0.198542342,-0.159096897,-0.130234137,302.704,2169.933594,24.52278519,,
,,Bogor,Jawa Barat,106.6144637,-6.460919225,353,24.48936462,304.6535645,242,4696.554251,10,0.183415845,-0.140046388,-0.19661893,301.3944444,2169.933594,23.93191147,,
,,Bogor,Jawa Barat,106.9813445,-6.672810931,1435,18.91373062,267.2921448,239,4281.540199,30,0.087568648,-0.07752768,-0.077342905,295.93875,2169.933594,24.85513115,,
,,Bogor,Jawa Barat,106.7012428,-6.725843728,1325,26.42454529,340.8521118,207,5461.778192,10,0.042617615,-0.051978454,0.00510383,295.238,1901.123901,25.1151371,,
,,Bogor,Jawa Barat,106.9584895,-6.592148395,568,22.97657585,272.1880493,251,4091.938932,10,0.131354675,-0.104739852,-0.04871498,299.2811111,2169.933594,24.99391365,,
,,Bogor,Jawa Barat,106.4854276,-6.735694047,1633,33.17140961,209.9161377,230,5290.105481,10,0.064577058,-0.062403552,-0.006472081,293.6872727,1690.635742,25.10935974,,
,,Bogor,Jawa Barat,106.543581,-6.667271597,581,29.17035103,25.97374916,142,5337.203586,10,0.153499722,-0.123946041,-0.141582251,298.2457143,2169.933594,25.10935974,,
,,Bogor,Jawa Barat,106.5752895,-6.42356652,127,6.550412178,314.8195801,195,4183.812368,10,0.094420925,-0.056743186,-0.123348966,301.1952,2169.933594,23.74265099,,
,,Bogor,Jawa Barat,107.124924,-6.578273575,123,9.133995056,314.8107605,201,3692.397027,40,0.182434857,-0.153549314,-0.091518492,302.0475,2169.933838,24.70723724,,
,,Bogor,Jawa Barat,107.1974399,-6.639639785,498,13.26895714,343.9524536,192,4167.567222,10,0.216312155,-0.179017156,-0.266584322,300.177037,1718.96814,24.56854439,,
,,Bogor,Jawa Barat,107.1095477,-6.553901229,226,17.39976883,98.91493225,127,3692.397027,10,0.320855498,-0.260151416,-0.118377835,301.9763636,2169.933594,24.33442307,,
,,Bogor,Jawa Barat,106.562075,-6.714714003,1108,12.09847355,98.68708801,143,5028.295107,10,0.110182941,-0.101803988,0.040997185,296.641,2169.933838,25.10935974,,
,,Bogor,Jawa Barat,106.715384,-6.640468894,469,5.941934109,308.4718323,195,5427.47884,10,0.186401904,-0.147824705,-0.151576787,301.761,2169.933838,24.59807205,,
,,Bogor,Jawa Barat,106.4501423,-6.704597164,1805,12.33164692,311.7917786,209,5290.105481,10,0.045002952,-0.051476616,0.008597761,293.302,2169.93335,25.04014015,,
,,Bogor,Jawa Barat,106.4549592,-6.677851275,1361,13.34320354,74.15733337,140,5483.020934,10,0.080851071,-0.073559217,0.008210793,295.3388235,2169.933594,25.10935974,,
,,Bogor,Jawa Barat,106.6254463,-6.565426321,202,2.075769663,333.283844,183,5065.836217,10,0.190562651,-0.153272212,-0.146320209,302.3536,2169.933838,24.59807205,,
,,Bogor,Jawa Barat,106.7278868,-6.538807865,157,13.54054165,160.2274475,166,5703.288543,10,0.181183651,-0.140843034,-0.129364654,304.4011765,2169.933594,24.28586388,,
,,Bogor,Jawa Barat,106.9513521,-6.393791714,51,4.161315918,63.5776825,169,3003.447545,10,0.092987515,-0.089135453,-0.079857312,307.4866667,2169.93335,23.97134209,,
,,Bogor,Jawa Barat,107.1377185,-6.509860149,74,14.38570786,145.1311951,155,3559.733643,10,0.274968565,-0.237502605,-0.261654913,303.5443478,2169.933594,24.33442307,,
,,Bogor,Jawa Barat,107.0854173,-6.468983155,88,1.315648079,225.1829834,183,3705.601015,40,0.105156653,-0.089453176,-0.109588526,303.8,2169.933594,24.33442307,,
,,Bogor,Jawa Barat,106.4898017,-6.592814393,594,14.24397945,50.38127136,146,4954.823897,10,0.148655087,-0.136643082,-0.097643271,299.872,2169.93335,24.68156052,,
,,Bogor,Jawa Barat,107.1066843,-6.607059801,235,7.067413807,66.93932343,160,3892.560365,10,0.256877184,-0.203775778,-0.173262119,302.2072727,2169.933594,24.70723724,,
,,Bogor,Jawa Barat,107.1110052,-6.516046237,117,0.933438897,270,183,3559.733643,40,0.123080797,-0.098301597,-0.104079701,303.0356522,2169.93335,24.33442307,,
,,Bogor,Jawa Barat,106.9926093,-6.458867523,75,1.854334116,0,180,3874.840687,40,0.120027505,-0.094436564,-0.17832128,303.7858824,2169.933838,23.97134209,,
,,Bogor,Jawa Barat,106.5588747,-6.62595049,651,28.43379784,285.6088257,255,5135.607489,10,0.142985076,-0.113656163,-0.091367185,299.5533333,2169.933594,24.68156052,,
,,Bogor,Jawa Barat,106.4356087,-6.689956561,1351,13.05304718,12.17520905,172,5155.392437,10,0.074129999,-0.072417907,-5.57E-04,294.6928571,2169.933594,25.04014015,,
,,Bogor,Jawa Barat,106.6786833,-6.512461597,93,13.60593128,109.536644,140,5034.142324,10,0.206945658,-0.176744595,-0.261890173,302.4247619,2169.93335,24.28586388,,
,,Bogor,Jawa Barat,106.7643856,-6.601024081,233,0,0,180,5824.370522,50,0.069157451,-0.062385641,-0.037940927,307.1093333,2169.93335,24.52278519,,
,,Bogor,Jawa Barat,106.7484076,-6.532919232,165,1.315732121,134.813385,177,5703.288543,50,0.092061542,-0.08228343,-0.036182322,305.16,2169.933594,24.40625763,,
,,Bogor,Jawa Barat,107.1364264,-6.622410436,177,7.234004498,50.38294601,163,3892.560365,10,0.293116152,-0.233162493,-0.199965984,302.432,2169.933594,24.70723724,,
,,Bogor,Jawa Barat,106.7389894,-6.692852935,1509,42.63235855,125.4699707,81,5708.007169,10,0.032654405,-0.04346104,-0.004316729,293.755,2169.933594,24.85558319,,
,,Bogor,Jawa Barat,106.8493119,-6.716993093,503,7.234825611,230.388382,198,4610.852992,10,0.1652648,-0.137018904,-0.093568489,302.2144444,2169.933594,24.85558319,,
,,Bogor,Jawa Barat,106.4993318,-6.712106882,1484,11.89579964,157.2398987,166,5290.105481,10,0.058401052,-0.061246853,-0.023274343,294.076,2169.933594,25.10935974,,
,,Bogor,Jawa Barat,106.4499269,-6.641364623,855,15.80230713,156.2286377,161,5100.245594,10,0.126734078,-0.116601922,-0.113200814,298.494,2169.933838,24.83080482,,
